Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Thu, Oct 27, 2022;10:00p;Memphis Grizzlies;125;Sacramento Kings;110;Box Score;;15,511;Golden 1 Center;;season;;Thu, Oct 27, 2022;Memphis Grizzlies;1;;Thu, Oct 27, 2022;Sacramento Kings;0
Fri, Oct 28, 2022;7:00p;Atlanta Hawks;136;Detroit Pistons;112;Box Score;;18,923;Little Caesars Arena;;season;;Fri, Oct 28, 2022;Atlanta Hawks;1;;Fri, Oct 28, 2022;Detroit Pistons;0
Fri, Oct 28, 2022;7:00p;Charlotte Hornets;93;Orlando Magic;113;Box Score;;18,846;Amway Center;;season;;Fri, Oct 28, 2022;Charlotte Hornets;0;;Fri, Oct 28, 2022;Orlando Magic;1
Fri, Oct 28, 2022;7:30p;Cleveland Cavaliers;132;Boston Celtics;123;Box Score;OT;19,156;TD Garden;;season;;Fri, Oct 28, 2022;Cleveland Cavaliers;1;;Fri, Oct 28, 2022;Boston Celtics;0
Fri, Oct 28, 2022;7:30p;Philadelphia 76ers;112;Toronto Raptors;90;Box Score;;19,800;Scotiabank Arena;;season;;Fri, Oct 28, 2022;Philadelphia 76ers;1;;Fri, Oct 28, 2022;Toronto Raptors;0
Fri, Oct 28, 2022;7:30p;Indiana Pacers;127;Washington Wizards;117;Box Score;;13,463;Capital One Arena;;season;;Fri, Oct 28, 2022;Indiana Pacers;1;;Fri, Oct 28, 2022;Washington Wizards;0
Fri, Oct 28, 2022;8:00p;New York Knicks;108;Milwaukee Bucks;119;Box Score;;17,341;Fiserv Forum;;season;;Fri, Oct 28, 2022;New York Knicks;0;;Fri, Oct 28, 2022;Milwaukee Bucks;1
Fri, Oct 28, 2022;8:00p;Los Angeles Lakers;102;Minnesota Timberwolves;111;Box Score;;17,136;Target Center;;season;;Fri, Oct 28, 2022;Los Angeles Lakers;0;;Fri, Oct 28, 2022;Minnesota Timberwolves;1
Fri, Oct 28, 2022;8:30p;Chicago Bulls;124;San Antonio Spurs;129;Box Score;;16,562;AT&T Center;;season;;Fri, Oct 28, 2022;Chicago Bulls;0;;Fri, Oct 28, 2022;San Antonio Spurs;1
Fri, Oct 28, 2022;9:00p;Utah Jazz;101;Denver Nuggets;117;Box Score;;19,560;Ball Arena;;season;;Fri, Oct 28, 2022;Utah Jazz;0;;Fri, Oct 28, 2022;Denver Nuggets;1
Fri, Oct 28, 2022;10:00p;New Orleans Pelicans;111;Phoenix Suns;124;Box Score;;17,071;Footprint Center;;season;;Fri, Oct 28, 2022;New Orleans Pelicans;0;;Fri, Oct 28, 2022;Phoenix Suns;1
Fri, Oct 28, 2022;10:00p;Houston Rockets;111;Portland Trail Blazers;125;Box Score;;19,082;Moda Center;;season;;Fri, Oct 28, 2022;Houston Rockets;0;;Fri, Oct 28, 2022;Portland Trail Blazers;1
Sat, Oct 29, 2022;6:00p;Miami Heat;113;Sacramento Kings;119;Box Score;;14,618;Golden 1 Center;;season;;Sat, Oct 29, 2022;Miami Heat;0;;Sat, Oct 29, 2022;Sacramento Kings;1
Sat, Oct 29, 2022;7:00p;Golden State Warriors;113;Charlotte Hornets;120;Box Score;OT;19,079;Spectrum Center;;season;;Sat, Oct 29, 2022;Golden State Warriors;0;;Sat, Oct 29, 2022;Charlotte Hornets;1
Sat, Oct 29, 2022;7:30p;Indiana Pacers;125;Brooklyn Nets;116;Box Score;;17,732;Barclays Center;;season;;Sat, Oct 29, 2022;Indiana Pacers;1;;Sat, Oct 29, 2022;Brooklyn Nets;0
Sat, Oct 29, 2022;8:00p;Philadelphia 76ers;114;Chicago Bulls;109;Box Score;;19,010;United Center;;season;;Sat, Oct 29, 2022;Philadelphia 76ers;1;;Sat, Oct 29, 2022;Chicago Bulls;0
Sat, Oct 29, 2022;8:00p;Atlanta Hawks;115;Milwaukee Bucks;123;Box Score;;17,341;Fiserv Forum;;season;;Sat, Oct 29, 2022;Atlanta Hawks;0;;Sat, Oct 29, 2022;Milwaukee Bucks;1
Sat, Oct 29, 2022;9:00p;Oklahoma City Thunder;117;Dallas Mavericks;111;Box Score;OT;20,307;American Airlines Center;;season;;Sat, Oct 29, 2022;Oklahoma City Thunder;1;;Sat, Oct 29, 2022;Dallas Mavericks;0
Sat, Oct 29, 2022;9:00p;Memphis Grizzlies;123;Utah Jazz;124;Box Score;;18,206;Vivint Arena;;season;;Sat, Oct 29, 2022;Memphis Grizzlies;0;;Sat, Oct 29, 2022;Utah Jazz;1
Sun, Oct 30, 2022;3:00p;New Orleans Pelicans;112;Los Angeles Clippers;91;Box Score;;18,142;Crypto.com Arena;;season;;Sun, Oct 30, 2022;New Orleans Pelicans;1;;Sun, Oct 30, 2022;Los Angeles Clippers;0
Sun, Oct 30, 2022;6:00p;Washington Wizards;94;Boston Celtics;112;Box Score;;19,156;TD Garden;;season;;Sun, Oct 30, 2022;Washington Wizards;0;;Sun, Oct 30, 2022;Boston Celtics;1
Sun, Oct 30, 2022;6:00p;New York Knicks;108;Cleveland Cavaliers;121;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Sun, Oct 30, 2022;New York Knicks;0;;Sun, Oct 30, 2022;Cleveland Cavaliers;1
Sun, Oct 30, 2022;6:00p;Golden State Warriors;114;Detroit Pistons;128;Box Score;;20,190;Little Caesars Arena;;season;;Sun, Oct 30, 2022;Golden State Warriors;0;;Sun, Oct 30, 2022;Detroit Pistons;1
Sun, Oct 30, 2022;7:00p;Minnesota Timberwolves;98;San Antonio Spurs;107;Box Score;;15,053;AT&T Center;;season;;Sun, Oct 30, 2022;Minnesota Timberwolves;0;;Sun, Oct 30, 2022;San Antonio Spurs;1
Sun, Oct 30, 2022;7:30p;Orlando Magic;105;Dallas Mavericks;114;Box Score;;20,042;American Airlines Center;;season;;Sun, Oct 30, 2022;Orlando Magic;0;;Sun, Oct 30, 2022;Dallas Mavericks;1
Sun, Oct 30, 2022;9:00p;Houston Rockets;109;Phoenix Suns;124;Box Score;;17,071;Footprint Center;;season;;Sun, Oct 30, 2022;Houston Rockets;0;;Sun, Oct 30, 2022;Phoenix Suns;1
Sun, Oct 30, 2022;9:30p;Denver Nuggets;110;Los Angeles Lakers;121;Box Score;;18,997;Crypto.com Arena;;season;;Sun, Oct 30, 2022;Denver Nuggets;0;;Sun, Oct 30, 2022;Los Angeles Lakers;1
Mon, Oct 31, 2022;7:00p;Sacramento Kings;115;Charlotte Hornets;108;Box Score;;12,020;Spectrum Center;;season;;Mon, Oct 31, 2022;Sacramento Kings;1;;Mon, Oct 31, 2022;Charlotte Hornets;0
Mon, Oct 31, 2022;7:00p;Philadelphia 76ers;118;Washington Wizards;111;Box Score;;13,746;Capital One Arena;;season;;Mon, Oct 31, 2022;Philadelphia 76ers;1;;Mon, Oct 31, 2022;Washington Wizards;0
Mon, Oct 31, 2022;7:30p;Indiana Pacers;109;Brooklyn Nets;116;Box Score;;15,770;Barclays Center;;season;;Mon, Oct 31, 2022;Indiana Pacers;0;;Mon, Oct 31, 2022;Brooklyn Nets;1
