#	Player	Team	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	ORB	DRB	REB	AST	STL	BLK	TOV	PF	
89	Jason Kidd	-	1391	50,111.1	17,529	6,219	15,557	.400	1,988	5,701	.349	3,103	3,954	.785	1,768	6,957	8,725	12,091	2,684	450	4,003	2,572	
90	Earl Monroe	-	926	29,636.0	17,454	6,906	14,898	.464	0	0	.000	3,642	4,513	.807	260	976	2,796	3,594	473	121	305	2,416	
91	Steve Nash	-	1217	38,070.1	17,387	6,321	12,892	.490	1,685	3,939	.428	3,060	3,384	.904	643	2,999	3,642	10,335	899	102	3,478	1,982	
92	Kevin McHale	BOS	971	30,121.0	17,334	6,830	12,334	.554	41	157	.261	3,633	4,553	.798	2,358	4,764	7,122	1,670	344	1,689	1,893	2,758	
93	Michael Finley	-	1103	37,997.4	17,306	6,696	15,095	.444	1,454	3,880	.375	2,460	3,032	.811	1,121	3,683	4,804	3,245	996	323	1,629	1,812	
94	Jack Sikma	-	1107	36,943.0	17,287	6,396	13,792	.464	203	618	.328	4,292	5,053	.849	2,542	8,275	10,817	3,488	1,164	1,048	2,584	3,871	
95	Kevin Willis	-	1424	38,363.6	17,253	7,095	14,572	.487	40	190	.211	3,023	4,238	.713	4,131	7,769	11,900	1,328	957	746	2,518	4,172	
96	Jeff Malone	-	905	29,662.0	17,233	7,099	14,674	.484	86	321	.268	2,949	3,385	.871	572	1,792	2,364	2,154	577	100	1,538	1,695	
97	Chris Bosh	-	893	31,935.4	17,189	6,209	12,581	.494	305	910	.335	4,466	5,591	.799	1,927	5,665	7,592	1,795	730	932	1,807	2,159	
98	Chris Webber	-	831	30,846.3	17,182	7,192	15,024	.479	264	883	.299	2,534	3,906	.649	2,271	5,853	8,124	3,526	1,197	1,200	2,313	2,701	
99	Grant Hill	-	1026	34,775.4	17,137	6,345	13,126	.483	219	697	.314	4,228	5,498	.769	1,176	4,993	6,169	4,252	1,248	576	2,459	2,377	
100	Bob Cousy	-	924	30,165.0	16,960	6,168	16,468	.375	0	0	.000	4,624	5,756	.803	0	0	4,786	6,955	0	0	0	2,242	
