Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Fri, Nov 25, 2022	7:00p	Philadelphia 76ers	107	Orlando Magic	99	Box Score		15,384	Amway Center		
Fri, Nov 25, 2022	7:30p	Portland Trail Blazers	132	New York Knicks	129	Box Score	OT	19,812	Madison Square Garden (IV)		
Fri, Nov 25, 2022	8:00p	Sacramento Kings	104	Boston Celtics	122	Box Score		19,156	TD Garden		
Fri, Nov 25, 2022	8:00p	Atlanta Hawks	122	Houston Rockets	128	Box Score		16,669	Toyota Center		
Fri, Nov 25, 2022	8:00p	Brooklyn Nets	117	Indiana Pacers	128	Box Score		15,404	Gainbridge Fieldhouse		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Fri, Nov 25, 2022	8:00p	New Orleans Pelicans	111	Memphis Grizzlies	132	Box Score		17,794	FedEx Forum		
Fri, Nov 25, 2022	8:00p	Washington Wizards	107	Miami Heat	110	Box Score		19,600	Kaseya Center		
Fri, Nov 25, 2022	8:00p	Cleveland Cavaliers	102	Milwaukee Bucks	117	Box Score		17,447	Fiserv Forum		
Fri, Nov 25, 2022	8:00p	Chicago Bulls	119	Oklahoma City Thunder	123	Box Score	OT	16,082	Paycom Center		
Fri, Nov 25, 2022	8:00p	Los Angeles Lakers	105	San Antonio Spurs	94	Box Score		18,354	AT&T Center		
Fri, Nov 25, 2022	9:00p	Detroit Pistons	102	Phoenix Suns	108	Box Score		17,071	Footprint Center		
Fri, Nov 25, 2022	10:00p	Utah Jazz	118	Golden State Warriors	129	Box Score		18,064	Chase Center		
Fri, Nov 25, 2022	10:30p	Denver Nuggets	114	Los Angeles Clippers	104	Box Score		16,559	Crypto.com Arena		
Sat, Nov 26, 2022	5:00p	Dallas Mavericks	100	Toronto Raptors	105	Box Score		19,800	Scotiabank Arena		
Sat, Nov 26, 2022	8:00p	Oklahoma City Thunder	105	Houston Rockets	118	Box Score		15,151	Toyota Center		
Sat, Nov 26, 2022	8:00p	Los Angeles Lakers	143	San Antonio Spurs	138	Box Score		18,354	AT&T Center		
Sat, Nov 26, 2022	9:00p	Utah Jazz	112	Phoenix Suns	113	Box Score		17,071	Footprint Center		
Sun, Nov 27, 2022	3:00p	Portland Trail Blazers	97	Brooklyn Nets	111	Box Score		17,732	Barclays Center		
Sun, Nov 27, 2022	3:30p	Golden State Warriors	137	Minnesota Timberwolves	114	Box Score		17,136	Target Center		
Sun, Nov 27, 2022	4:00p	Indiana Pacers	100	Los Angeles Clippers	114	Box Score		16,805	Crypto.com Arena		
Sun, Nov 27, 2022	5:00p	Miami Heat	106	Atlanta Hawks	98	Box Score		17,268	State Farm Arena		
Sun, Nov 27, 2022	6:00p	Washington Wizards	121	Boston Celtics	130	Box Score		19,156	TD Garden		
Sun, Nov 27, 2022	6:00p	Cleveland Cavaliers	102	Detroit Pistons	94	Box Score		18,240	Little Caesars Arena		
Sun, Nov 27, 2022	6:00p	Memphis Grizzlies	127	New York Knicks	123	Box Score		19,524	Madison Square Garden (IV)		
Sun, Nov 27, 2022	6:00p	Philadelphia 76ers	133	Orlando Magic	103	Box Score		16,218	Amway Center		
Sun, Nov 27, 2022	8:00p	Dallas Mavericks	115	Milwaukee Bucks	124	Box Score		17,341	Fiserv Forum		
Mon, Nov 28, 2022	7:00p	Atlanta Hawks	101	Philadelphia 76ers	104	Box Score		19,778	Wells Fargo Center		
Mon, Nov 28, 2022	7:00p	Minnesota Timberwolves	127	Washington Wizards	142	Box Score		13,515	Capital One Arena		
Mon, Nov 28, 2022	7:30p	Charlotte Hornets	105	Boston Celtics	140	Box Score		19,156	TD Garden		
Mon, Nov 28, 2022	7:30p	Orlando Magic	102	Brooklyn Nets	109	Box Score		15,704	Barclays Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Nov 28, 2022	7:30p	Cleveland Cavaliers	88	Toronto Raptors	100	Box Score		19,800	Scotiabank Arena		
Mon, Nov 28, 2022	8:00p	Oklahoma City Thunder	101	New Orleans Pelicans	105	Box Score		13,109	Smoothie King Center		
Mon, Nov 28, 2022	9:00p	Houston Rockets	113	Denver Nuggets	129	Box Score		16,027	Ball Arena		
Mon, Nov 28, 2022	9:00p	Chicago Bulls	114	Utah Jazz	107	Box Score		18,206	Vivint Arena		
Mon, Nov 28, 2022	10:00p	Phoenix Suns	122	Sacramento Kings	117	Box Score		16,407	Golden 1 Center		
Mon, Nov 28, 2022	10:30p	Indiana Pacers	116	Los Angeles Lakers	115	Box Score		16,034	Crypto.com Arena		
Tue, Nov 29, 2022	7:00p	New York Knicks	140	Detroit Pistons	110	Box Score		14,864	Little Caesars Arena		
Tue, Nov 29, 2022	7:30p	Golden State Warriors	113	Dallas Mavericks	116	Box Score		20,277	American Airlines Center		
Tue, Nov 29, 2022	10:00p	Los Angeles Clippers	118	Portland Trail Blazers	112	Box Score		17,251	Moda Center		
Wed, Nov 30, 2022	7:00p	Philadelphia 76ers	85	Cleveland Cavaliers	113	Box Score		19,432	Rocket Mortgage Fieldhouse		
Wed, Nov 30, 2022	7:00p	Atlanta Hawks	125	Orlando Magic	108	Box Score		15,344	Amway Center		
Wed, Nov 30, 2022	7:30p	Miami Heat	121	Boston Celtics	134	Box Score		19,156	TD Garden		
Wed, Nov 30, 2022	7:30p	Washington Wizards	107	Brooklyn Nets	113	Box Score		15,963	Barclays Center		
Wed, Nov 30, 2022	7:30p	Milwaukee Bucks	109	New York Knicks	103	Box Score		17,277	Madison Square Garden (IV)		
Wed, Nov 30, 2022	8:00p	Memphis Grizzlies	101	Minnesota Timberwolves	109	Box Score		15,980	Target Center		
Wed, Nov 30, 2022	8:00p	Toronto Raptors	108	New Orleans Pelicans	126	Box Score		14,845	Smoothie King Center		
Wed, Nov 30, 2022	8:00p	San Antonio Spurs	111	Oklahoma City Thunder	119	Box Score		15,605	Paycom Center		
Wed, Nov 30, 2022	9:00p	Houston Rockets	100	Denver Nuggets	120	Box Score		16,286	Ball Arena		
Wed, Nov 30, 2022	9:00p	Chicago Bulls	113	Phoenix Suns	132	Box Score		17,071	Footprint Center		
