Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Dec 19, 2022	8:00p	Milwaukee Bucks	128	New Orleans Pelicans	119	Box Score		18,271	Smoothie King Center		
Mon, Dec 19, 2022	8:00p	Portland Trail Blazers	121	Oklahoma City Thunder	123	Box Score		14,672	Paycom Center		
Mon, Dec 19, 2022	9:00p	Los Angeles Lakers	104	Phoenix Suns	130	Box Score		17,071	Footprint Center		
Mon, Dec 19, 2022	10:00p	Charlotte Hornets	125	Sacramento Kings	119	Box Score		17,803	Golden 1 Center		
Tue, Dec 20, 2022	7:00p	Utah Jazz	126	Detroit Pistons	111	Box Score		15,622	Little Caesars Arena		
Tue, Dec 20, 2022	7:30p	Chicago Bulls	113	Miami Heat	103	Box Score		19,969	Kaseya Center		
Tue, Dec 20, 2022	7:30p	Golden State Warriors	94	New York Knicks	132	Box Score		19,812	Madison Square Garden (IV)		
Tue, Dec 20, 2022	9:00p	Washington Wizards	113	Phoenix Suns	110	Box Score		17,071	Footprint Center		
Tue, Dec 20, 2022	10:00p	Memphis Grizzlies	91	Denver Nuggets	105	Box Score		19,605	Ball Arena		
Wed, Dec 21, 2022	7:00p	Milwaukee Bucks	106	Cleveland Cavaliers	114	Box Score		19,432	Rocket Mortgage Fieldhouse		
Wed, Dec 21, 2022	7:00p	Detroit Pistons	93	Philadelphia 76ers	113	Box Score		20,615	Wells Fargo Center		
Wed, Dec 21, 2022	7:30p	Chicago Bulls	110	Atlanta Hawks	108	Box Score		17,226	State Farm Arena		
Wed, Dec 21, 2022	7:30p	Indiana Pacers	117	Boston Celtics	112	Box Score		19,156	TD Garden		
Wed, Dec 21, 2022	7:30p	Golden State Warriors	113	Brooklyn Nets	143	Box Score		18,026	Barclays Center		
Wed, Dec 21, 2022	7:30p	Toronto Raptors	113	New York Knicks	106	Box Score		19,294	Madison Square Garden (IV)		
Wed, Dec 21, 2022	8:00p	Orlando Magic	116	Houston Rockets	110	Box Score		15,965	Toyota Center		
Wed, Dec 21, 2022	8:00p	Dallas Mavericks	104	Minnesota Timberwolves	99	Box Score		16,164	Target Center		
Wed, Dec 21, 2022	8:00p	Portland Trail Blazers	98	Oklahoma City Thunder	101	Box Score		15,107	Paycom Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Wed, Dec 21, 2022	10:00p	Los Angeles Lakers	120	Sacramento Kings	134	Box Score		17,611	Golden 1 Center		
Wed, Dec 21, 2022	10:30p	Charlotte Hornets	105	Los Angeles Clippers	126	Box Score		19,068	Crypto.com Arena		
Thu, Dec 22, 2022	8:00p	San Antonio Spurs	117	New Orleans Pelicans	126	Box Score		16,417	Smoothie King Center		
Thu, Dec 22, 2022	9:00p	Washington Wizards	112	Utah Jazz	120	Box Score		18,206	Vivint Arena		
Fri, Dec 23, 2022	7:00p	San Antonio Spurs	113	Orlando Magic	133	Box Score		18,425	Amway Center		
Fri, Dec 23, 2022	7:00p	Los Angeles Clippers	114	Philadelphia 76ers	119	Box Score		19,996	Wells Fargo Center		
Fri, Dec 23, 2022	7:30p	Detroit Pistons	105	Atlanta Hawks	130	Box Score		17,028	State Farm Arena		
Fri, Dec 23, 2022	7:30p	Minnesota Timberwolves	109	Boston Celtics	121	Box Score		19,156	TD Garden		
Fri, Dec 23, 2022	7:30p	Milwaukee Bucks	100	Brooklyn Nets	118	Box Score		18,169	Barclays Center		
Fri, Dec 23, 2022	7:30p	Toronto Raptors	118	Cleveland Cavaliers	107	Box Score		19,432	Rocket Mortgage Fieldhouse		
Fri, Dec 23, 2022	7:30p	Chicago Bulls	118	New York Knicks	117	Box Score		19,812	Madison Square Garden (IV)		
Fri, Dec 23, 2022	8:00p	Dallas Mavericks	112	Houston Rockets	106	Box Score		16,989	Toyota Center		
Fri, Dec 23, 2022	8:00p	Indiana Pacers	111	Miami Heat	108	Box Score		19,600	Kaseya Center		
Fri, Dec 23, 2022	8:00p	New Orleans Pelicans	128	Oklahoma City Thunder	125	Box Score	OT	15,214	Paycom Center		
Fri, Dec 23, 2022	9:00p	Portland Trail Blazers	107	Denver Nuggets	120	Box Score		19,619	Ball Arena		
Fri, Dec 23, 2022	10:00p	Memphis Grizzlies	125	Phoenix Suns	100	Box Score		17,071	Footprint Center		
Fri, Dec 23, 2022	10:00p	Washington Wizards	125	Sacramento Kings	111	Box Score		17,894	Golden 1 Center		
Fri, Dec 23, 2022	10:30p	Charlotte Hornets	134	Los Angeles Lakers	130	Box Score		18,997	Crypto.com Arena		
Sun, Dec 25, 2022	12:00p	Philadelphia 76ers	119	New York Knicks	112	Box Score		19,812	Madison Square Garden (IV)		
Sun, Dec 25, 2022	2:30p	Los Angeles Lakers	115	Dallas Mavericks	124	Box Score		20,441	American Airlines Center		
Sun, Dec 25, 2022	5:00p	Milwaukee Bucks	118	Boston Celtics	139	Box Score		19,156	TD Garden		
Sun, Dec 25, 2022	8:00p	Memphis Grizzlies	109	Golden State Warriors	123	Box Score		18,064	Chase Center		
Sun, Dec 25, 2022	10:30p	Phoenix Suns	125	Denver Nuggets	128	Box Score	OT	19,642	Ball Arena		
Mon, Dec 26, 2022	7:00p	Brooklyn Nets	125	Cleveland Cavaliers	117	Box Score		19,432	Rocket Mortgage Fieldhouse		
Mon, Dec 26, 2022	7:00p	Los Angeles Clippers	142	Detroit Pistons	131	Box Score	OT	20,190	Little Caesars Arena		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Dec 26, 2022	7:30p	Minnesota Timberwolves	110	Miami Heat	113	Box Score		19,911	Kaseya Center		
Mon, Dec 26, 2022	8:00p	Houston Rockets	133	Chicago Bulls	118	Box Score		21,561	United Center		
Mon, Dec 26, 2022	8:00p	Indiana Pacers	93	New Orleans Pelicans	113	Box Score		18,636	Smoothie King Center		
Mon, Dec 26, 2022	8:00p	Utah Jazz	122	San Antonio Spurs	126	Box Score		16,351	AT&T Center		
Mon, Dec 26, 2022	10:00p	Charlotte Hornets	113	Portland Trail Blazers	124	Box Score		19,530	Moda Center		
Tue, Dec 27, 2022	7:00p	Los Angeles Lakers	129	Orlando Magic	110	Box Score		19,482	Amway Center		
Tue, Dec 27, 2022	7:00p	Philadelphia 76ers	111	Washington Wizards	116	Box Score		20,476	Capital One Arena		
