Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Mar 27, 2023	7:00p	Milwaukee Bucks	126	Detroit Pistons	117	Box Score		21,090	Little Caesars Arena		
Mon, Mar 27, 2023	7:00p	Dallas Mavericks	127	Indiana Pacers	104	Box Score		17,022	Gainbridge Fieldhouse		
Mon, Mar 27, 2023	7:30p	Houston Rockets	115	New York Knicks	137	Box Score		19,812	Madison Square Garden (IV)		
Mon, Mar 27, 2023	9:00p	Phoenix Suns	117	Utah Jazz	103	Box Score		18,206	Vivint Arena		
Mon, Mar 27, 2023	9:30p	Philadelphia 76ers	111	Denver Nuggets	116	Box Score		19,781	Ball Arena		
Mon, Mar 27, 2023	10:00p	New Orleans Pelicans	124	Portland Trail Blazers	90	Box Score		17,943	Moda Center		
Mon, Mar 27, 2023	10:00p	Minnesota Timberwolves	119	Sacramento Kings	115	Box Score		18,151	Golden 1 Center		
Mon, Mar 27, 2023	10:30p	Chicago Bulls	112	Los Angeles Clippers	124	Box Score		19,068	Crypto.com Arena		
Tue, Mar 28, 2023	7:00p	Boston Celtics	111	Washington Wizards	130	Box Score		20,476	Capital One Arena		
Tue, Mar 28, 2023	7:30p	Cleveland Cavaliers	118	Atlanta Hawks	120	Box Score		17,748	State Farm Arena		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Tue, Mar 28, 2023	7:30p	Miami Heat	92	Toronto Raptors	106	Box Score		19,800	Scotiabank Arena		
Tue, Mar 28, 2023	8:00p	Orlando Magic	108	Memphis Grizzlies	113	Box Score		16,507	FedEx Forum		
Tue, Mar 28, 2023	8:00p	Charlotte Hornets	137	Oklahoma City Thunder	134	Box Score		15,428	Paycom Center		
Tue, Mar 28, 2023	10:00p	New Orleans Pelicans	109	Golden State Warriors	120	Box Score		18,064	Chase Center		
Wed, Mar 29, 2023	7:00p	Milwaukee Bucks	149	Indiana Pacers	136	Box Score		16,524	Gainbridge Fieldhouse		
Wed, Mar 29, 2023	7:30p	Houston Rockets	114	Brooklyn Nets	123	Box Score		17,074	Barclays Center		
Wed, Mar 29, 2023	7:30p	Miami Heat	92	New York Knicks	101	Box Score		19,812	Madison Square Garden (IV)		
Wed, Mar 29, 2023	7:30p	Dallas Mavericks	108	Philadelphia 76ers	116	Box Score		20,583	Wells Fargo Center		
Wed, Mar 29, 2023	8:00p	Los Angeles Lakers	121	Chicago Bulls	110	Box Score		21,739	United Center		
Wed, Mar 29, 2023	8:00p	Los Angeles Clippers	141	Memphis Grizzlies	132	Box Score		16,775	FedEx Forum		
Wed, Mar 29, 2023	8:00p	Detroit Pistons	106	Oklahoma City Thunder	107	Box Score		15,047	Paycom Center		
Wed, Mar 29, 2023	8:00p	Utah Jazz	128	San Antonio Spurs	117	Box Score		18,354	AT&T Center		
Wed, Mar 29, 2023	10:00p	Minnesota Timberwolves	100	Phoenix Suns	107	Box Score		17,071	Footprint Center		
Wed, Mar 29, 2023	10:00p	Sacramento Kings	120	Portland Trail Blazers	80	Box Score		18,550	Moda Center		
Thu, Mar 30, 2023	7:30p	Boston Celtics	140	Milwaukee Bucks	99	Box Score		18,073	Fiserv Forum		
Thu, Mar 30, 2023	10:00p	New Orleans Pelicans	107	Denver Nuggets	88	Box Score		19,728	Ball Arena		
Fri, Mar 31, 2023	7:00p	Chicago Bulls	121	Charlotte Hornets	91	Box Score		18,768	Spectrum Center		
Fri, Mar 31, 2023	7:00p	Oklahoma City Thunder	117	Indiana Pacers	121	Box Score		16,506	Gainbridge Fieldhouse		
Fri, Mar 31, 2023	7:00p	Toronto Raptors	110	Philadelphia 76ers	117	Box Score		20,993	Wells Fargo Center		
