Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Thu, Feb 23, 2023	7:00p	Denver Nuggets	115	Cleveland Cavaliers	109	Box Score		19,432	Rocket Mortgage Fieldhouse		
Thu, Feb 23, 2023	7:00p	Boston Celtics	142	Indiana Pacers	138	Box Score	OT	16,125	Gainbridge Fieldhouse		
Thu, Feb 23, 2023	7:00p	Detroit Pistons	106	Orlando Magic	108	Box Score		18,846	Amway Center		
Thu, Feb 23, 2023	7:30p	Memphis Grizzlies	105	Philadelphia 76ers	110	Box Score		21,205	Wells Fargo Center		
Thu, Feb 23, 2023	7:30p	New Orleans Pelicans	110	Toronto Raptors	115	Box Score		19,800	Scotiabank Arena		
Thu, Feb 23, 2023	8:30p	San Antonio Spurs	116	Dallas Mavericks	142	Box Score		20,287	American Airlines Center		
Thu, Feb 23, 2023	9:00p	Oklahoma City Thunder	119	Utah Jazz	120	Box Score	OT	18,206	Vivint Arena		
Thu, Feb 23, 2023	10:00p	Golden State Warriors	111	Los Angeles Lakers	124	Box Score		18,997	Crypto.com Arena		
Thu, Feb 23, 2023	10:00p	Portland Trail Blazers	116	Sacramento Kings	133	Box Score		18,041	Golden 1 Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Fri, Feb 24, 2023	7:00p	New York Knicks	115	Washington Wizards	109	Box Score		20,476	Capital One Arena		
Fri, Feb 24, 2023	7:30p	Cleveland Cavaliers	119	Atlanta Hawks	136	Box Score		18,065	State Farm Arena		
Fri, Feb 24, 2023	7:30p	Miami Heat	99	Milwaukee Bucks	128	Box Score		17,676	Fiserv Forum		
Fri, Feb 24, 2023	8:00p	Brooklyn Nets	87	Chicago Bulls	131	Box Score		21,286	United Center		
Fri, Feb 24, 2023	8:00p	Charlotte Hornets	121	Minnesota Timberwolves	113	Box Score		17,136	Target Center		
Fri, Feb 24, 2023	10:00p	Houston Rockets	101	Golden State Warriors	116	Box Score		18,064	Chase Center		
Fri, Feb 24, 2023	10:00p	Oklahoma City Thunder	115	Phoenix Suns	124	Box Score		17,071	Footprint Center		
Fri, Feb 24, 2023	10:30p	Sacramento Kings	176	Los Angeles Clippers	175	Box Score	2OT	19,068	Crypto.com Arena		
Sat, Feb 25, 2023	12:00p	Toronto Raptors	95	Detroit Pistons	91	Box Score		20,190	Little Caesars Arena		
Sat, Feb 25, 2023	7:00p	Miami Heat	103	Charlotte Hornets	108	Box Score		19,109	Spectrum Center		
Sat, Feb 25, 2023	7:00p	Indiana Pacers	121	Orlando Magic	108	Box Score		19,231	Amway Center		
Sat, Feb 25, 2023	7:30p	New Orleans Pelicans	106	New York Knicks	128	Box Score		19,812	Madison Square Garden (IV)		
Sat, Feb 25, 2023	8:00p	Denver Nuggets	94	Memphis Grizzlies	112	Box Score		18,302	FedEx Forum		
Sat, Feb 25, 2023	8:30p	Boston Celtics	110	Philadelphia 76ers	107	Box Score		20,993	Wells Fargo Center		
Sat, Feb 25, 2023	9:00p	San Antonio Spurs	102	Utah Jazz	118	Box Score		18,206	Vivint Arena		
Sun, Feb 26, 2023	1:00p	Phoenix Suns	101	Milwaukee Bucks	104	Box Score		17,636	Fiserv Forum		
Sun, Feb 26, 2023	3:00p	Brooklyn Nets	127	Atlanta Hawks	129	Box Score		16,983	State Farm Arena		
Sun, Feb 26, 2023	3:30p	Washington Wizards	82	Chicago Bulls	102	Box Score		21,106	United Center		
Sun, Feb 26, 2023	3:30p	Los Angeles Lakers	111	Dallas Mavericks	108	Box Score		20,411	American Airlines Center		
Sun, Feb 26, 2023	6:00p	Toronto Raptors	93	Cleveland Cavaliers	118	Box Score		19,432	Rocket Mortgage Fieldhouse		
Sun, Feb 26, 2023	7:00p	Sacramento Kings	124	Oklahoma City Thunder	115	Box Score		15,147	Paycom Center		
Sun, Feb 26, 2023	7:30p	Minnesota Timberwolves	104	Golden State Warriors	109	Box Score		18,064	Chase Center		
Sun, Feb 26, 2023	9:00p	Houston Rockets	114	Portland Trail Blazers	131	Box Score		19,215	Moda Center		
Sun, Feb 26, 2023	10:00p	Los Angeles Clippers	124	Denver Nuggets	134	Box Score	OT	19,689	Ball Arena		
Mon, Feb 27, 2023	7:00p	Detroit Pistons	106	Charlotte Hornets	117	Box Score		14,184	Spectrum Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Feb 27, 2023	7:00p	Miami Heat	101	Philadelphia 76ers	99	Box Score		20,859	Wells Fargo Center		
Mon, Feb 27, 2023	7:30p	Boston Celtics	94	New York Knicks	109	Box Score		19,812	Madison Square Garden (IV)		
Mon, Feb 27, 2023	8:00p	Orlando Magic	101	New Orleans Pelicans	93	Box Score		16,038	Smoothie King Center		
Tue, Feb 28, 2023	7:30p	Washington Wizards	119	Atlanta Hawks	116	Box Score		17,395	State Farm Arena		
Tue, Feb 28, 2023	7:30p	Milwaukee Bucks	118	Brooklyn Nets	104	Box Score		17,732	Barclays Center		
Tue, Feb 28, 2023	7:30p	Los Angeles Lakers	109	Memphis Grizzlies	121	Box Score		17,794	FedEx Forum		
Tue, Feb 28, 2023	7:30p	Chicago Bulls	98	Toronto Raptors	104	Box Score		19,800	Scotiabank Arena		
Tue, Feb 28, 2023	8:00p	Denver Nuggets	133	Houston Rockets	112	Box Score		15,368	Toyota Center		
Tue, Feb 28, 2023	8:00p	Sacramento Kings	123	Oklahoma City Thunder	117	Box Score		13,353	Paycom Center		
Tue, Feb 28, 2023	8:30p	Indiana Pacers	124	Dallas Mavericks	122	Box Score		20,277	American Airlines Center		
Tue, Feb 28, 2023	9:00p	San Antonio Spurs	102	Utah Jazz	94	Box Score		18,206	Vivint Arena		
Tue, Feb 28, 2023	10:00p	Portland Trail Blazers	105	Golden State Warriors	123	Box Score		18,064	Chase Center		
Tue, Feb 28, 2023	10:00p	Minnesota Timberwolves	108	Los Angeles Clippers	101	Box Score		17,022	Crypto.com Arena		
